Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	0.0364379948	0.0364379948	0.0364379948	0.0364379948	0	0	0	0	0	0	3
2	22	0	0.0227933778	0.0570711646	0.0467545797	0.0364379948	0.0570711646	0.0103165849	0	0	0	0	0	3
3	26	0	0.0341900666	0.0788088164	0.0574393252	0.0364379948	0.0788088164	0.0210013305	0	0	0	0	0	3
4	29	0	0.0455867555	0.100595524	0.0682283749	0.0364379948	0.100595524	0.0317903802	0	0	0	0	0	3
5	33	0	0.0569834444	0.123703606	0.0793234211	0.0364379948	0.123703606	0.0428854264	0	0	0	0	0	3
6	37	0	0.0683801333	0.158356996	0.0924956836	0.0364379948	0.158356996	0.0560576888	0	0	0	0	0	3
7	41	0	0.0797768222	0.194983129	0.107136747	0.0364379948	0.194983129	0.0706987524	0	0	0	0	0	3
8	45	0	0.0911735111	0.231898636	0.122731983	0.0364379948	0.231898636	0.0862939885	0	0	0	0	0	3
9	48	0	0.1025702	0.269395541	0.139027934	0.0364379948	0.269395541	0.102589939	0	0	0	0	0	3
10	52	0	0.113966889	0.306341765	0.155759317	0.0364379948	0.306341765	0.119321322	0	0	0	0	0	3
11	57	0	0.125363578	0.35880761	0.174218253	0.0364379948	0.35880761	0.137780258	0	0	0	0	0	3
12	61	0	0.136760267	0.409032557	0.193786112	0.0364379948	0.409032557	0.157348117	0	0	0	0	0	3
13	65	0	0.148156955	0.458945498	0.214182988	0.0364379948	0.458945498	0.177744993	0	0	0	0	0	3
14	69	0	0.159553644	0.505610091	0.234999209	0.0364379948	0.505610091	0.198561214	0	0	0	0	0	3
15	73	0	0.170950333	0.550083599	0.256004835	0.0364379948	0.550083599	0.21956684	0	0	0	0	0	3
16	78	0	0.182347022	0.610410565	0.278155193	0.0364379948	0.610410565	0.241717199	0	0	0	0	0	3
17	82	0	0.193743711	0.665950523	0.300966683	0.0364379948	0.665950523	0.264528688	0	0	0	0	0	3
18	86	0	0.2051404	0.717121629	0.324086402	0.0364379948	0.717121629	0.287648408	0	0	0	0	0	3
19	89	0	0.216537089	0.765444977	0.347315801	0.0364379948	0.765444977	0.310877806	0	0	0	0	0	3
20	94	0	0.227933778	0.809632293	0.370431626	0.0364379948	0.809632293	0.333993631	0	0	0	0	0	3
21	97	0	0.239330467	0.870838871	0.394260542	0.0364379948	0.870838871	0.357822547	0	0	0	0	0	3
22	100	0	0.250727155	0.92684866	0.418469093	0.0364379948	0.92684866	0.382031098	0	0	0	0	0	3
23	104	0	0.262123844	0.978286682	0.442808988	0.0364379948	0.978286682	0.406370993	0	0	0	0	0	3
24	107	0	0.273520533	1.02599552	0.467108427	0.0364379948	1.02599552	0.430670432	0	0	0	0	0	3
25	110	0	0.284917222	1.07000707	0.491224373	0.0364379948	1.07000707	0.454786378	0	0	0	0	0	3
26	113	0	0.296313911	1.13165191	0.515856201	0.0364379948	1.13165191	0.479418206	0	0	0	0	0	3
27	117	0	0.3077106	1.18520011	0.540646716	0.0364379948	1.18520011	0.504208722	0	0	0	0	0	3
28	121	0	0.319107289	1.23435132	0.565421881	0.0364379948	1.23435132	0.528983886	0	0	0	0	0	3
29	126	0	0.330503978	1.27946884	0.59004419	0.0364379948	1.27946884	0.553606195	0	0	0	0	0	3
30	129	0	0.341900666	1.32033698	0.614387283	0.0364379948	1.32033698	0.577949288	0	0	0	0	0	3
31	133	0	0.353297355	1.37602105	0.638956114	0.0364379948	1.37602105	0.602518119	0	0	0	0	0	3
32	137	0	0.364694044	1.42419351	0.663494783	0.0364379948	1.42419351	0.627056788	0	0	0	0	0	3
33	141	0	0.376090733	1.4646048	0.687770844	0.0364379948	1.4646048	0.651332849	0	0	0	0	0	3
34	144	0	0.387487422	1.49909615	0.711633353	0.0364379948	1.49909615	0.675195358	0	0	0	0	0	3
35	148	0	0.398884111	1.53157387	0.735060225	0.0364379948	1.53157387	0.69862223	0	0	0	0	0	3
36	152	0	0.4102808	1.57113338	0.758284479	0.0364379948	1.57113338	0.721846484	0	0	0	0	0	3
37	155	0	0.421677489	1.60198003	0.781087061	0.0364379948	1.60198003	0.744649067	0	0	0	0	0	3
38	159	0	0.433074178	1.62689879	0.803345265	0.0364379948	1.62689879	0.76690727	0	0	0	0	0	3
39	162	0	0.444470866	1.64647752	0.824964041	0.0364379948	1.64647752	0.788526046	0	0	0	0	0	3
40	165	0	0.455867555	1.65997785	0.845839386	0.0364379948	1.65997785	0.809401391	0	0	0	0	0	3
41	169	0	0.467264244	1.67157808	0.865979354	0.0364379948	1.67157808	0.829541359	0	0	0	0	0	3
42	173	0	0.478660933	1.67634954	0.885273882	0.0364379948	1.67634954	0.848835888	0	0	0	0	0	3
43	176	0	0.490057622	1.67841244	0.903718965	0.0364379948	1.67841244	0.86728097	0	0	0	0	0	3
44	180	0	0.501454311	1.67852549	0.921328204	0.0364379948	1.67852549	0.884890209	0	0	0	0	0	3
