Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	101332.535	101332.535	101332.535	101332.535	0	0	0	0	0	0	3
2	22	0	0.0227933778	101330.561	101331.548	101330.561	101332.535	0.98709964	0	0	0	0	0	3
3	26	0	0.0341900666	101330.214	101331.103	101330.214	101332.535	1.43198506	0	0	0	0	0	3
4	29	0	0.0455867555	101329.951	101330.815	101329.951	101332.535	1.72009973	0	0	0	0	0	3
5	33	0	0.0569834444	101329.835	101330.619	101329.835	101332.535	1.91625422	0	0	0	0	0	3
6	37	0	0.0683801333	101329.399	101330.416	101329.399	101332.535	2.11969319	0	0	0	0	0	3
7	41	0	0.0797768222	101329.124	101330.231	101329.124	101332.535	2.30425583	0	0	0	0	0	3
8	45	0	0.0911735111	101328.815	101330.054	101328.815	101332.535	2.48130438	0	0	0	0	0	3
9	48	0	0.1025702	101328.62	101329.895	101328.62	101332.535	2.6406558	0	0	0	0	0	3
10	52	0	0.113966889	101328.337	101329.739	101328.337	101332.535	2.79641152	0	0	0	0	0	3
11	57	0	0.125363578	101328.018	101329.583	101328.018	101332.535	2.95284971	0	0	0	0	0	3
12	61	0	0.136760267	101327.688	101329.425	101327.688	101332.535	3.11077198	0	0	0	0	0	3
13	65	0	0.148156955	101327.482	101329.275	101327.482	101332.535	3.2602364	0	0	0	0	0	3
14	69	0	0.159553644	101327.251	101329.131	101327.251	101332.535	3.40481832	0	0	0	0	0	3
15	73	0	0.170950333	101327.126	101328.997	101327.126	101332.535	3.53848744	0	0	0	0	0	3
16	78	0	0.182347022	101326.909	101328.866	101326.909	101332.535	3.6690041	0	0	0	0	0	3
17	82	0	0.193743711	101326.792	101328.744	101326.792	101332.535	3.79105628	0	0	0	0	0	3
18	86	0	0.2051404	101326.664	101328.629	101326.664	101332.535	3.90662102	0	0	0	0	0	3
19	89	0	0.216537089	101326.603	101328.522	101326.603	101332.535	4.01325688	0	0	0	0	0	3
20	94	0	0.227933778	101326.538	101328.423	101326.538	101332.535	4.11245204	0	0	0	0	0	3
21	97	0	0.239330467	101326.516	101328.332	101326.516	101332.535	4.20325033	0	0	0	0	0	3
22	100	0	0.250727155	101326.517	101328.25	101326.516	101332.535	4.28575793	0	0	0	0	0	3
23	104	0	0.262123844	101326.547	101328.176	101326.516	101332.535	4.35977934	0	0	0	0	0	3
24	107	0	0.273520533	101326.586	101328.109	101326.516	101332.535	4.42602013	0	0	0	0	0	3
25	110	0	0.284917222	101326.623	101328.05	101326.516	101332.535	4.48549314	0	0	0	0	0	3
26	113	0	0.296313911	101326.705	101327.998	101326.516	101332.535	4.537221	0	0	0	0	0	3
27	117	0	0.3077106	101326.784	101327.953	101326.516	101332.535	4.58220243	0	0	0	0	0	3
28	121	0	0.319107289	101326.853	101327.914	101326.516	101332.535	4.62149592	0	0	0	0	0	3
29	126	0	0.330503978	101326.929	101327.88	101326.516	101332.535	4.65545633	0	0	0	0	0	3
30	129	0	0.341900666	101326.959	101327.849	101326.516	101332.535	4.68614233	0	0	0	0	0	3
31	133	0	0.353297355	101327.006	101327.822	101326.516	101332.535	4.71335137	0	0	0	0	0	3
32	137	0	0.364694044	101327.054	101327.798	101326.516	101332.535	4.73733989	0	0	0	0	0	3
33	141	0	0.376090733	101327.109	101327.777	101326.516	101332.535	4.75822263	0	0	0	0	0	3
34	144	0	0.387487422	101327.147	101327.759	101326.516	101332.535	4.77674462	0	0	0	0	0	3
35	148	0	0.398884111	101327.184	101327.742	101326.516	101332.535	4.79315911	0	0	0	0	0	3
36	152	0	0.4102808	101327.251	101327.729	101326.516	101332.535	4.80680668	0	0	0	0	0	3
37	155	0	0.421677489	101327.242	101327.715	101326.516	101332.535	4.81996564	0	0	0	0	0	3
38	159	0	0.433074178	101327.277	101327.704	101326.516	101332.535	4.83150297	0	0	0	0	0	3
39	162	0	0.444470866	101327.3	101327.694	101326.516	101332.535	4.84186702	0	0	0	0	0	3
40	165	0	0.455867555	101327.294	101327.684	101326.516	101332.535	4.85184564	0	0	0	0	0	3
41	169	0	0.467264244	101327.282	101327.674	101326.516	101332.535	4.86164729	0	0	0	0	0	3
42	173	0	0.478660933	101327.265	101327.664	101326.516	101332.535	4.87137298	0	0	0	0	0	3
43	176	0	0.490057622	101327.248	101327.654	101326.516	101332.535	4.88105033	0	0	0	0	0	3
44	180	0	0.501454311	101327.241	101327.645	101326.516	101332.535	4.89044456	0	0	0	0	0	3
45	183	0	0.512851	101327.218	101327.524	101326.516	101330.561	4.02419211	0	0	0	0	0	3
46	186	0	0.524247689	101327.207	101327.448	101326.516	101330.214	3.65554904	0	0	0	0	0	3
47	189	0	0.535644377	101327.207	101327.38	101326.516	101329.951	3.43477232	0	0	0	0	0	3
48	192	0	0.547041066	101327.212	101327.317	101326.516	101329.835	3.30185116	0	0	0	0	0	3
49	196	0	0.558437755	101327.215	101327.258	101326.516	101329.399	2.88232804	0	0	0	0	0	3
50	199	0	0.569834444	101327.221	101327.208	101326.516	101329.124	2.60758442	0	0	0	0	0	3
51	202	0	0.581231133	101327.218	101327.165	101326.516	101328.815	2.29857184	0	0	0	0	0	3
52	206	0	0.592627822	101327.219	101327.129	101326.516	101328.62	2.10374887	0	0	0	0	0	3
53	210	0	0.604024511	101327.219	101327.097	101326.516	101328.337	1.82100312	0	0	0	0	0	3
54	213	0	0.6154212	101327.222	101327.072	101326.516	101328.018	1.50198447	0	0	0	0	0	3
55	216	0	0.626817889	101327.224	101327.054	101326.516	101327.688	1.17129912	0	0	0	0	0	3
56	219	0	0.638214577	101327.228	101327.043	101326.516	101327.482	0.965406601	0	0	0	0	0	3
