Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	293.206237	293.206237	293.206237	293.206237	0	0	0	0	0	0	3
2	22	0	0.0227933778	293.211596	293.208917	293.206237	293.211596	0.00267946697	0	0	0	0	0	3
3	26	0	0.0341900666	293.215876	293.211236	293.206237	293.215876	0.00499913399	0	0	0	0	0	3
4	29	0	0.0455867555	293.220039	293.213437	293.206237	293.220039	0.00719985148	0	0	0	0	0	3
5	33	0	0.0569834444	293.224302	293.21561	293.206237	293.224302	0.00937280066	0	0	0	0	0	3
6	37	0	0.0683801333	293.231261	293.218218	293.206237	293.231261	0.0119813757	0	0	0	0	0	3
7	41	0	0.0797768222	293.238525	293.221119	293.206237	293.238525	0.0148822541	0	0	0	0	0	3
8	45	0	0.0911735111	293.24575	293.224198	293.206237	293.24575	0.0179610711	0	0	0	0	0	3
9	48	0	0.1025702	293.252998	293.227398	293.206237	293.252998	0.0211610661	0	0	0	0	0	3
10	52	0	0.113966889	293.260472	293.230706	293.206237	293.260472	0.0244684959	0	0	0	0	0	3
11	57	0	0.125363578	293.286395	293.235768	293.206237	293.286395	0.0295311774	0	0	0	0	0	3
12	61	0	0.136760267	293.314739	293.242349	293.206237	293.314739	0.036112113	0	0	0	0	0	3
13	65	0	0.148156955	293.343012	293.250092	293.206237	293.343012	0.0438553933	0	0	0	0	0	3
14	69	0	0.159553644	293.371233	293.258745	293.206237	293.371233	0.0525082978	0	0	0	0	0	3
15	73	0	0.170950333	293.399452	293.268126	293.206237	293.399452	0.0618887321	0	0	0	0	0	3
16	78	0	0.182347022	293.442164	293.279003	293.206237	293.442164	0.072766094	0	0	0	0	0	3
17	82	0	0.193743711	293.48523	293.291134	293.206237	293.48523	0.0848970994	0	0	0	0	0	3
18	86	0	0.2051404	293.52871	293.304333	293.206237	293.52871	0.0980957511	0	0	0	0	0	3
19	89	0	0.216537089	293.572727	293.318459	293.206237	293.572727	0.112221763	0	0	0	0	0	3
20	94	0	0.227933778	293.617342	293.333403	293.206237	293.617342	0.127165929	0	0	0	0	0	3
21	97	0	0.239330467	293.685414	293.350165	293.206237	293.685414	0.143928338	0	0	0	0	0	3
22	100	0	0.250727155	293.754582	293.368548	293.206237	293.754582	0.162310899	0	0	0	0	0	3
23	104	0	0.262123844	293.824799	293.388385	293.206237	293.824799	0.182147919	0	0	0	0	0	3
24	107	0	0.273520533	293.895793	293.409527	293.206237	293.895793	0.203289901	0	0	0	0	0	3
25	110	0	0.284917222	293.967594	293.43185	293.206237	293.967594	0.225612579	0	0	0	0	0	3
26	113	0	0.296313911	294.076724	293.456652	293.206237	294.076724	0.250415423	0	0	0	0	0	3
27	117	0	0.3077106	294.18588	293.483661	293.206237	294.18588	0.277423862	0	0	0	0	0	3
28	121	0	0.319107289	294.293867	293.512597	293.206237	294.293867	0.306359793	0	0	0	0	0	3
29	126	0	0.330503978	294.400382	293.54321	293.206237	294.400382	0.336973062	0	0	0	0	0	3
30	129	0	0.341900666	294.505783	293.575296	293.206237	294.505783	0.369058828	0	0	0	0	0	3
31	133	0	0.353297355	294.659067	293.610256	293.206237	294.659067	0.404019195	0	0	0	0	0	3
32	137	0	0.364694044	294.80314	293.647534	293.206237	294.80314	0.441296821	0	0	0	0	0	3
33	141	0	0.376090733	294.940666	293.68672	293.206237	294.940666	0.480482638	0	0	0	0	0	3
34	144	0	0.387487422	295.072329	293.727473	293.206237	295.072329	0.521235844	0	0	0	0	0	3
35	148	0	0.398884111	295.199391	293.769528	293.206237	295.199391	0.563290657	0	0	0	0	0	3
36	152	0	0.4102808	295.383045	293.814348	293.206237	295.383045	0.608110581	0	0	0	0	0	3
37	155	0	0.421677489	295.559982	293.861527	293.206237	295.559982	0.655289897	0	0	0	0	0	3
38	159	0	0.433074178	295.731928	293.910748	293.206237	295.731928	0.704510981	0	0	0	0	0	3
39	162	0	0.444470866	295.903536	293.961845	293.206237	295.903536	0.755608116	0	0	0	0	0	3
40	165	0	0.455867555	296.077928	294.014747	293.206237	296.077928	0.808510192	0	0	0	0	0	3
41	169	0	0.467264244	296.339293	294.071443	293.206237	296.339293	0.86520643	0	0	0	0	0	3
42	173	0	0.478660933	296.601782	294.13169	293.206237	296.601782	0.925452595	0	0	0	0	0	3
43	176	0	0.490057622	296.860653	294.195154	293.206237	296.860653	0.988916868	0	0	0	0	0	3
44	180	0	0.501454311	297.110963	294.261422	293.206237	297.110963	1.05518526	0	0	0	0	0	3
45	183	0	0.512851	297.349789	294.355594	293.211596	297.349789	1.14667743	0	0	0	0	0	3
46	186	0	0.524247689	297.578046	294.454831	293.215876	297.578046	1.24359525	0	0	0	0	0	3
47	189	0	0.535644377	297.795174	294.558906	293.220039	297.795174	1.3454695	0	0	0	0	0	3
48	192	0	0.547041066	298.002276	294.667594	293.224302	298.002276	1.45198376	0	0	0	0	0	3
49	196	0	0.558437755	298.19959	294.780668	293.231261	298.19959	1.56244991	0	0	0	0	0	3
50	199	0	0.569834444	298.390232	294.897918	293.238525	298.390232	1.67679837	0	0	0	0	0	3
51	202	0	0.581231133	298.576944	295.019245	293.24575	298.576944	1.79504728	0	0	0	0	0	3
52	206	0	0.592627822	298.760223	295.144574	293.252998	298.760223	1.91717622	0	0	0	0	0	3
53	210	0	0.604024511	298.940946	295.273846	293.260472	298.940946	2.04314032	0	0	0	0	0	3
54	213	0	0.6154212	299.118734	295.406988	293.286395	299.118734	2.17121996	0	0	0	0	0	3
55	216	0	0.626817889	299.29353	295.543514	293.314739	299.29353	2.30116482	0	0	0	0	0	3
56	219	0	0.638214577	299.465449	295.683303	293.343012	299.465449	2.43321039	0	0	0	0	0	3
57	222	0	0.649611266	299.634744	295.826297	293.371233	299.634744	2.5675514	0	0	0	0	0	3
58	224	0	0.661007955	299.801305	295.972435	293.399452	299.801305	2.70430898	0	0	0	0	0	3
