Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	101332.572	101332.572	101332.572	101332.572	0	0	0	0	0	0	3
2	22	0	0.0227933778	101330.618	101331.595	101330.618	101332.572	0.976782978	0	0	0	0	0	3
3	26	0	0.0341900666	101330.293	101331.161	101330.293	101332.572	1.41098355	0	0	0	0	0	3
4	29	0	0.0455867555	101330.052	101330.884	101330.052	101332.572	1.68830904	0	0	0	0	0	3
5	33	0	0.0569834444	101329.958	101330.699	101329.958	101332.572	1.87336833	0	0	0	0	0	3
6	37	0	0.0683801333	101329.557	101330.508	101329.557	101332.572	2.06363481	0	0	0	0	0	3
7	41	0	0.0797768222	101329.319	101330.338	101329.319	101332.572	2.23355609	0	0	0	0	0	3
8	45	0	0.0911735111	101329.047	101330.177	101329.047	101332.572	2.39500904	0	0	0	0	0	3
9	48	0	0.1025702	101328.889	101330.034	101328.889	101332.572	2.53806409	0	0	0	0	0	3
10	52	0	0.113966889	101328.644	101329.895	101328.644	101332.572	2.67708793	0	0	0	0	0	3
11	57	0	0.125363578	101328.377	101329.757	101328.377	101332.572	2.81506658	0	0	0	0	0	3
12	61	0	0.136760267	101328.097	101329.618	101328.097	101332.572	2.95342029	0	0	0	0	0	3
13	65	0	0.148156955	101327.941	101329.489	101327.941	101332.572	3.08248704	0	0	0	0	0	3
14	69	0	0.159553644	101327.757	101329.366	101327.757	101332.572	3.20625187	0	0	0	0	0	3
15	73	0	0.170950333	101327.676	101329.253	101327.676	101332.572	3.31891444	0	0	0	0	0	3
16	78	0	0.182347022	101327.519	101329.145	101327.519	101332.572	3.42727973	0	0	0	0	0	3
17	82	0	0.193743711	101327.458	101329.045	101327.458	101332.572	3.52651932	0	0	0	0	0	3
18	86	0	0.2051404	101327.381	101328.953	101327.381	101332.572	3.61896321	0	0	0	0	0	3
19	89	0	0.216537089	101327.368	101328.87	101327.368	101332.572	3.70236849	0	0	0	0	0	3
20	94	0	0.227933778	101327.348	101328.793	101327.348	101332.572	3.77844663	0	0	0	0	0	3
21	97	0	0.239330467	101327.387	101328.726	101327.348	101332.572	3.84541474	0	0	0	0	0	3
22	100	0	0.250727155	101327.444	101328.668	101327.348	101332.572	3.90371251	0	0	0	0	0	3
23	104	0	0.262123844	101327.526	101328.619	101327.348	101332.572	3.95339271	0	0	0	0	0	3
24	107	0	0.273520533	101327.612	101328.577	101327.348	101332.572	3.99533274	0	0	0	0	0	3
25	110	0	0.284917222	101327.693	101328.541	101327.348	101332.572	4.03068849	0	0	0	0	0	3
26	113	0	0.296313911	101327.837	101328.514	101327.348	101332.572	4.05778318	0	0	0	0	0	3
27	117	0	0.3077106	101327.969	101328.494	101327.348	101332.572	4.07797276	0	0	0	0	0	3
28	121	0	0.319107289	101328.087	101328.479	101327.348	101332.572	4.09248977	0	0	0	0	0	3
29	126	0	0.330503978	101328.209	101328.47	101327.348	101332.572	4.10182656	0	0	0	0	0	3
30	129	0	0.341900666	101328.28	101328.464	101327.348	101332.572	4.10816819	0	0	0	0	0	3
31	133	0	0.353297355	101328.382	101328.461	101327.348	101332.572	4.11080711	0	0	0	0	0	3
32	137	0	0.364694044	101328.479	101328.462	101327.348	101332.572	4.11080711	0	0	0	0	0	3
33	141	0	0.376090733	101328.574	101328.465	101327.348	101332.572	4.11080711	0	0	0	0	0	3
34	144	0	0.387487422	101328.647	101328.47	101327.348	101332.572	4.11080711	0	0	0	0	0	3
35	148	0	0.398884111	101328.716	101328.477	101327.348	101332.572	4.11080711	0	0	0	0	0	3
36	152	0	0.4102808	101328.822	101328.487	101327.348	101332.572	4.11080711	0	0	0	0	0	3
37	155	0	0.421677489	101328.844	101328.497	101327.348	101332.572	4.11080711	0	0	0	0	0	3
38	159	0	0.433074178	101328.904	101328.507	101327.348	101332.572	4.11080711	0	0	0	0	0	3
39	162	0	0.444470866	101328.946	101328.519	101327.348	101332.572	4.11080711	0	0	0	0	0	3
40	165	0	0.455867555	101328.954	101328.529	101327.348	101332.572	4.11080711	0	0	0	0	0	3
41	169	0	0.467264244	101328.953	101328.54	101327.348	101332.572	4.11080711	0	0	0	0	0	3
42	173	0	0.478660933	101328.942	101328.549	101327.348	101332.572	4.11080711	0	0	0	0	0	3
43	176	0	0.490057622	101328.926	101328.558	101327.348	101332.572	4.11080711	0	0	0	0	0	3
44	180	0	0.501454311	101328.92	101328.566	101327.348	101332.572	4.11080711	0	0	0	0	0	3
45	183	0	0.512851	101328.9	101328.483	101327.348	101330.618	3.13402414	0	0	0	0	0	3
46	186	0	0.524247689	101328.891	101328.444	101327.348	101330.293	2.71723656	0	0	0	0	0	3
47	189	0	0.535644377	101328.896	101328.412	101327.348	101330.052	2.47164351	0	0	0	0	0	3
48	192	0	0.547041066	101328.906	101328.386	101327.348	101329.958	2.31262127	0	0	0	0	0	3
49	196	0	0.558437755	101328.914	101328.362	101327.348	101329.557	2.14607894	0	0	0	0	0	3
50	199	0	0.569834444	101328.924	101328.348	101327.348	101329.319	1.97084745	0	0	0	0	0	3
51	202	0	0.581231133	101328.925	101328.339	101327.348	101329.047	1.69875151	0	0	0	0	0	3
52	206	0	0.592627822	101328.928	101328.336	101327.348	101328.954	1.60653273	0	0	0	0	0	3
53	210	0	0.604024511	101328.928	101328.337	101327.348	101328.954	1.55865105	0	0	0	0	0	3
54	213	0	0.6154212	101328.932	101328.344	101327.348	101328.954	1.42067239	0	0	0	0	0	3
55	216	0	0.626817889	101328.931	101328.356	101327.348	101328.954	1.28231869	0	0	0	0	0	3
