Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	7.34120465	7.34120465	7.34120465	7.34120465	0	0	0	0	0	0	3
2	22	0	0.0227933778	6.52583505	6.93351985	6.52583505	7.34120465	0.4076848	0	0	0	0	0	3
3	26	0	0.0341900666	5.69600094	6.52101355	5.69600094	7.34120465	0.820191105	0	0	0	0	0	3
4	29	0	0.0455867555	5.50024674	6.26582185	5.50024674	7.34120465	1.07538281	0	0	0	0	0	3
5	33	0	0.0569834444	5.39379142	6.09141576	5.39379142	7.34120465	1.24978889	0	0	0	0	0	3
6	37	0	0.0683801333	5.27502584	5.95535077	5.27502584	7.34120465	1.38585388	0	0	0	0	0	3
7	41	0	0.0797768222	5.14161666	5.83910304	5.14161666	7.34120465	1.50210161	0	0	0	0	0	3
8	45	0	0.0911735111	5.10543897	5.74739503	5.10543897	7.34120465	1.59380962	0	0	0	0	0	3
9	48	0	0.1025702	5.14529279	5.68049479	5.10543897	7.34120465	1.66070987	0	0	0	0	0	3
10	52	0	0.113966889	5.29412013	5.64185732	5.10543897	7.34120465	1.69934733	0	0	0	0	0	3
11	57	0	0.125363578	12.9983748	6.31063164	5.10543897	12.9983748	1.69934733	0	0	0	0	0	3
12	61	0	0.136760267	14.4565397	6.98945731	5.10543897	14.4565397	1.69934733	0	0	0	0	0	3
13	65	0	0.148156955	14.442154	7.56274167	5.10543897	14.4565397	1.92088435	0	0	0	0	0	3
14	69	0	0.159553644	14.3518227	8.04767602	5.10543897	14.4565397	2.4058187	0	0	0	0	0	3
15	73	0	0.170950333	14.2656225	8.46220579	5.10543897	14.4565397	2.82034847	0	0	0	0	0	3
16	78	0	0.182347022	14.163124	8.81851317	5.10543897	14.4565397	3.17665585	0	0	0	0	0	3
17	82	0	0.193743711	14.0718867	9.12753515	5.10543897	14.4565397	3.48567783	0	0	0	0	0	3
18	86	0	0.2051404	13.9994428	9.39819668	5.10543897	14.4565397	3.75633936	0	0	0	0	0	3
19	89	0	0.216537089	13.9428133	9.63738703	5.10543897	14.4565397	3.99552971	0	0	0	0	0	3
20	94	0	0.227933778	13.8863745	9.8498364	5.10543897	14.4565397	4.20797908	0	0	0	0	0	3
21	97	0	0.239330467	13.8368368	10.0396936	5.10543897	14.4565397	4.39783625	0	0	0	0	0	3
22	100	0	0.250727155	13.7859122	10.2099762	5.10543897	14.4565397	4.56811891	0	0	0	0	0	3
23	104	0	0.262123844	13.7726767	10.3648763	5.10543897	14.4565397	4.72301893	0	0	0	0	0	3
24	107	0	0.273520533	13.7244417	10.5048581	5.10543897	14.4565397	4.86300082	0	0	0	0	0	3
25	110	0	0.284917222	13.6919789	10.632343	5.10543897	14.4565397	4.99048566	0	0	0	0	0	3
26	113	0	0.296313911	13.7095924	10.7506987	5.10543897	14.4565397	5.1088414	0	0	0	0	0	3
27	117	0	0.3077106	13.766432	10.8623925	5.10543897	14.4565397	5.22053523	0	0	0	0	0	3
28	121	0	0.319107289	13.7529959	10.9656284	5.10543897	14.4565397	5.32377106	0	0	0	0	0	3
29	126	0	0.330503978	13.7923837	11.0631027	5.10543897	14.4565397	5.42124538	0	0	0	0	0	3
30	129	0	0.341900666	13.8506373	11.1560205	5.10543897	14.4565397	5.5141632	0	0	0	0	0	3
31	133	0	0.353297355	13.9153322	11.2450306	5.10543897	14.4565397	5.60317326	0	0	0	0	0	3
32	137	0	0.364694044	13.9280153	11.3288739	5.10543897	14.4565397	5.68701653	0	0	0	0	0	3
33	141	0	0.376090733	13.9761465	11.4090942	5.10543897	14.4565397	5.76723692	0	0	0	0	0	3
34	144	0	0.387487422	14.0572991	11.4869826	5.10543897	14.4565397	5.84512529	0	0	0	0	0	3
35	148	0	0.398884111	14.1188922	11.56218	5.10543897	14.4565397	5.92032271	0	0	0	0	0	3
36	152	0	0.4102808	14.1743663	11.6347408	5.10543897	14.4565397	5.99288344	0	0	0	0	0	3
37	155	0	0.421677489	14.2123789	11.7044067	5.10543897	14.4565397	6.06254934	0	0	0	0	0	3
38	159	0	0.433074178	14.2653122	11.7717989	5.10543897	14.4565397	6.12994159	0	0	0	0	0	3
39	162	0	0.444470866	14.3164594	11.8370466	5.10543897	14.4565397	6.19518929	0	0	0	0	0	3
40	165	0	0.455867555	14.371719	11.9004134	5.10543897	14.4565397	6.2585561	0	0	0	0	0	3
41	169	0	0.467264244	14.4247542	11.9619827	5.10543897	14.4565397	6.32012539	0	0	0	0	0	3
42	173	0	0.478660933	14.4790812	12.0219136	5.10543897	14.4790812	6.3800563	0	0	0	0	0	3
43	176	0	0.490057622	14.4956165	12.0794416	5.10543897	14.4956165	6.43758428	0	0	0	0	0	3
44	180	0	0.501454311	14.5004641	12.1344648	5.10543897	14.5004641	6.49260752	0	0	0	0	0	3
45	183	0	0.512851	14.4933838	12.2970144	5.10543897	14.5004641	6.65515704	0	0	0	0	0	3
46	186	0	0.524247689	14.4896933	12.4780111	5.10543897	14.5004641	6.83615382	0	0	0	0	0	3
