Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	2.04279441e-09	2.04279441e-09	2.04279441e-09	2.04279441e-09	0	0	0	0	0	0	3
2	22	0	0.0227933778	2.27837045e-09	2.16058243e-09	2.04279441e-09	2.27837045e-09	1.1778802e-10	0	0	0	0	0	3
3	26	0	0.0341900666	2.79276497e-09	2.37130994e-09	2.04279441e-09	2.79276497e-09	3.28515531e-10	0	0	0	0	0	3
4	29	0	0.0455867555	1.58536875e-09	2.17482465e-09	1.58536875e-09	2.79276497e-09	3.28515531e-10	0	0	0	0	0	3
5	33	0	0.0569834444	1.32746377e-09	2.00535247e-09	1.32746377e-09	2.79276497e-09	3.65957474e-10	0	0	0	0	0	3
6	37	0	0.0683801333	7.19049632e-10	1.79096866e-09	7.19049632e-10	2.79276497e-09	5.80341281e-10	0	0	0	0	0	3
7	41	0	0.0797768222	5.08253741e-10	1.60772367e-09	5.08253741e-10	2.79276497e-09	7.6358627e-10	0	0	0	0	0	3
8	45	0	0.0911735111	5.14209034e-10	1.47103434e-09	5.08253741e-10	2.79276497e-09	9.002756e-10	0	0	0	0	0	3
9	48	0	0.1025702	5.05128297e-10	1.36371145e-09	5.05128297e-10	2.79276497e-09	1.00759849e-09	0	0	0	0	0	3
10	52	0	0.113966889	4.5230409e-10	1.27257071e-09	4.5230409e-10	2.79276497e-09	1.09873923e-09	0	0	0	0	0	3
11	57	0	0.125363578	2.81997277e-10	1.18251858e-09	2.81997277e-10	2.79276497e-09	1.18879136e-09	0	0	0	0	0	3
12	61	0	0.136760267	2.66286613e-10	1.10616592e-09	2.66286613e-10	2.79276497e-09	1.26514403e-09	0	0	0	0	0	3
13	65	0	0.148156955	2.16232563e-10	1.03770951e-09	2.16232563e-10	2.79276497e-09	1.33360044e-09	0	0	0	0	0	3
14	69	0	0.159553644	2.07928383e-10	9.78439427e-10	2.07928383e-10	2.79276497e-09	1.39287052e-09	0	0	0	0	0	3
15	73	0	0.170950333	2.00699169e-10	9.26590077e-10	2.00699169e-10	2.79276497e-09	1.44471987e-09	0	0	0	0	0	3
16	78	0	0.182347022	1.6026134e-10	8.78694531e-10	1.6026134e-10	2.79276497e-09	1.49261541e-09	0	0	0	0	0	3
