Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	17	0	0.0113966889	296.111655	296.111655	296.111655	296.111655	0	0	0	0	0	0	3
2	22	0	0.0227933778	296.117965	296.11481	296.111655	296.117965	0.00315494766	0	0	0	0	0	3
3	26	0	0.0341900666	296.12639	296.11867	296.111655	296.12639	0.00701499958	0	0	0	0	0	3
4	29	0	0.0455867555	296.138076	296.123522	296.111655	296.138076	0.0118665402	0	0	0	0	0	3
5	33	0	0.0569834444	296.154693	296.129756	296.111655	296.154693	0.0181009157	0	0	0	0	0	3
6	37	0	0.0683801333	296.178577	296.137893	296.111655	296.178577	0.0262377739	0	0	0	0	0	3
7	41	0	0.0797768222	296.212819	296.148597	296.111655	296.212819	0.0369414904	0	0	0	0	0	3
8	45	0	0.0911735111	296.261187	296.16267	296.111655	296.261187	0.0510152996	0	0	0	0	0	3
9	48	0	0.1025702	296.327976	296.181038	296.111655	296.327976	0.0693825957	0	0	0	0	0	3
10	52	0	0.113966889	296.417253	296.204659	296.111655	296.417253	0.0930041059	0	0	0	0	0	3
11	57	0	0.125363578	299.943381	296.544543	296.111655	299.943381	0.432887883	0	0	0	0	0	3
12	61	0	0.136760267	300.991966	296.915162	296.111655	300.991966	0.803506473	0	0	0	0	0	3
13	65	0	0.148156955	301.28159	297.251041	296.111655	301.28159	1.13938555	0	0	0	0	0	3
14	69	0	0.159553644	301.48614	297.553548	296.111655	301.48614	1.44189262	0	0	0	0	0	3
15	73	0	0.170950333	301.689133	297.829253	296.111655	301.689133	1.71759833	0	0	0	0	0	3
16	78	0	0.182347022	301.999386	298.089887	296.111655	301.999386	1.97823163	0	0	0	0	0	3
17	82	0	0.193743711	302.264955	298.335479	296.111655	302.264955	2.2238239	0	0	0	0	0	3
18	86	0	0.2051404	302.518187	298.567852	296.111655	302.518187	2.45619656	0	0	0	0	0	3
19	89	0	0.216537089	302.749582	298.787943	296.111655	302.749582	2.67628761	0	0	0	0	0	3
20	94	0	0.227933778	302.961211	298.996606	296.111655	302.961211	2.88495101	0	0	0	0	0	3
21	97	0	0.239330467	303.299263	299.201494	296.111655	303.299263	3.08983942	0	0	0	0	0	3
22	100	0	0.250727155	303.594928	299.401196	296.111655	303.594928	3.28954093	0	0	0	0	0	3
23	104	0	0.262123844	303.871614	299.595562	296.111655	303.871614	3.48390695	0	0	0	0	0	3
24	107	0	0.273520533	304.139683	299.7849	296.111655	304.139683	3.67324533	0	0	0	0	0	3
25	110	0	0.284917222	304.395617	299.969329	296.111655	304.395617	3.857674	0	0	0	0	0	3
26	113	0	0.296313911	304.77541	300.154178	296.111655	304.77541	4.04252325	0	0	0	0	0	3
27	117	0	0.3077106	305.098936	300.337317	296.111655	305.098936	4.22566243	0	0	0	0	0	3
28	121	0	0.319107289	305.399575	300.518112	296.111655	305.399575	4.40645733	0	0	0	0	0	3
29	126	0	0.330503978	305.684071	300.696249	296.111655	305.684071	4.58459382	0	0	0	0	0	3
30	129	0	0.341900666	305.941679	300.871097	296.111655	305.941679	4.7594415	0	0	0	0	0	3
31	133	0	0.353297355	306.295569	301.04608	296.111655	306.295569	4.93442447	0	0	0	0	0	3
32	137	0	0.364694044	306.597787	301.21957	296.111655	306.597787	5.10791531	0	0	0	0	0	3
33	141	0	0.376090733	306.878842	301.391063	296.111655	306.878842	5.2794084	0	0	0	0	0	3
34	144	0	0.387487422	307.137526	301.560077	296.111655	307.137526	5.44842201	0	0	0	0	0	3
35	148	0	0.398884111	307.35893	301.725759	296.111655	307.35893	5.61410354	0	0	0	0	0	3
36	152	0	0.4102808	307.649645	301.890311	296.111655	307.649645	5.77865593	0	0	0	0	0	3
37	155	0	0.421677489	307.897286	302.052662	296.111655	307.897286	5.94100659	0	0	0	0	0	3
38	159	0	0.433074178	308.133644	302.212688	296.111655	308.133644	6.10103245	0	0	0	0	0	3
39	162	0	0.444470866	308.367331	302.370499	296.111655	308.367331	6.25884381	0	0	0	0	0	3
40	165	0	0.455867555	308.575918	302.525634	296.111655	308.575918	6.41397929	0	0	0	0	0	3
41	169	0	0.467264244	308.864952	302.680252	296.111655	308.864952	6.5685968	0	0	0	0	0	3
42	173	0	0.478660933	309.143697	302.834143	296.111655	309.143697	6.72248835	0	0	0	0	0	3
43	176	0	0.490057622	309.383177	302.986447	296.111655	309.383177	6.87479145	0	0	0	0	0	3
44	180	0	0.501454311	309.648976	303.137868	296.111655	309.648976	7.02621257	0	0	0	0	0	3
45	183	0	0.512851	309.890988	303.451034	296.117965	309.890988	7.33622429	0	0	0	0	0	3
46	186	0	0.524247689	310.117579	303.769207	296.12639	310.117579	7.65053728	0	0	0	0	0	3
47	189	0	0.535644377	310.355605	304.092599	296.138076	310.355605	7.96907699	0	0	0	0	0	3
48	192	0	0.547041066	310.574304	304.420695	296.154693	310.574304	8.2909387	0	0	0	0	0	3
49	196	0	0.558437755	310.815142	304.753887	296.178577	310.815142	8.61599384	0	0	0	0	0	3
50	199	0	0.569834444	311.044003	305.091737	296.212819	311.044003	8.94314072	0	0	0	0	0	3
51	202	0	0.581231133	311.247224	305.433428	296.261187	311.247224	9.27075794	0	0	0	0	0	3
52	206	0	0.592627822	311.437071	305.778335	296.327976	311.437071	9.5972971	0	0	0	0	0	3
53	210	0	0.604024511	311.623254	306.125955	296.417253	311.623254	9.92129553	0	0	0	0	0	3
54	213	0	0.6154212	311.802783	306.475626	299.943381	311.802783	9.9310829	0	0	0	0	0	3
55	216	0	0.626817889	311.967178	306.748894	300.991966	311.967178	9.83373242	0	0	0	0	0	3
56	219	0	0.638214577	312.128573	307.001999	301.28159	312.128573	9.75095804	0	0	0	0	0	3
57	222	0	0.649611266	312.28055	307.251975	301.48614	312.28055	9.69842734	0	0	0	0	0	3
58	224	0	0.661007955	312.426321	307.500616	301.689133	312.426321	9.67136212	0	0	0	0	0	3
59	227	0	0.672404644	312.563068	307.74775	301.999386	312.563068	9.65786369	0	0	0	0	0	3
60	230	0	0.683801333	312.695432	307.990842	302.264955	312.695432	9.65536338	0	0	0	0	0	3
61	295	0	0.695198022	312.819468	308.230718	302.518187	312.819468	9.662866	0	0	0	0	0	3
62	298	0	0.706594711	312.944247	308.467674	302.749582	312.944247	9.67973086	0	0	0	0	0	3
63	302	0	0.7179914	313.062659	308.702062	302.961211	313.062659	9.70545558	0	0	0	0	0	3
