Iteration	CPUTime	PhysTime	Travels
1	17	0	0.0113966889
2	22	0	0.0227933778
3	26	0	0.0341900666
4	29	0	0.0455867555
5	33	0	0.0569834444
6	37	0	0.0683801333
7	41	0	0.0797768222
8	45	0	0.0911735111
9	48	0	0.1025702
10	52	0	0.113966889
11	57	0	0.125363578
12	61	0	0.136760267
13	65	0	0.148156955
14	69	0	0.159553644
15	73	0	0.170950333
16	78	0	0.182347022
17	82	0	0.193743711
18	86	0	0.2051404
19	89	0	0.216537089
20	94	0	0.227933778
21	97	0	0.239330467
22	100	0	0.250727155
23	104	0	0.262123844
24	107	0	0.273520533
25	110	0	0.284917222
26	113	0	0.296313911
27	117	0	0.3077106
28	121	0	0.319107289
29	126	0	0.330503978
30	129	0	0.341900666
31	133	0	0.353297355
32	137	0	0.364694044
33	141	0	0.376090733
34	144	0	0.387487422
35	148	0	0.398884111
36	152	0	0.4102808
37	155	0	0.421677489
38	159	0	0.433074178
39	162	0	0.444470866
40	165	0	0.455867555
41	169	0	0.467264244
42	173	0	0.478660933
43	176	0	0.490057622
44	180	0	0.501454311
45	183	0	0.512851
46	186	0	0.524247689
47	189	0	0.535644377
48	192	0	0.547041066
49	196	0	0.558437755
50	199	0	0.569834444
51	202	0	0.581231133
52	206	0	0.592627822
53	210	0	0.604024511
54	213	0	0.6154212
55	216	0	0.626817889
56	219	0	0.638214577
57	222	0	0.649611266
58	224	0	0.661007955
59	227	0	0.672404644
60	230	0	0.683801333
61	295	0	0.695198022
62	298	0	0.706594711
63	302	0	0.7179914
64	305	0	0.729388088
65	308	0	0.740784777
66	311	0	0.752181466
67	314	0	0.763578155
68	317	0	0.774974844
69	320	0	0.786371533
70	323	0	0.797768222
71	325	0	0.809164911
72	328	0	0.820561599
73	331	0	0.831958288
74	334	0	0.843354977
75	338	0	0.854751666
76	342	0	0.866148355
77	345	0	0.877545044
78	348	0	0.888941733
79	352	0	0.900338422
80	356	0	0.911735111
81	360	0	0.923131799
82	363	0	0.934528488
83	367	0	0.945925177
84	370	0	0.957321866
85	374	0	0.968718555
86	377	0	0.980115244
87	381	0	0.991511933
88	385	0	1.00290862
89	389	0	1.01430531
90	392	0	1.025702
91	395	0	1.03709869
92	398	0	1.04849538
93	401	0	1.05989207
94	404	0	1.07128875
95	407	0	1.08268544
96	410	0	1.09408213
97	413	0	1.10547882
98	414	0	1.11687551
99	417	0	1.1282722
100	419	0	1.13966889
101	422	0	1.15106558
102	424	0	1.16246227
103	430	0	1.17385895
104	432	0	1.18525564
105	436	0	1.19665233
106	439	0	1.20804902
107	443	0	1.21944571
108	447	0	1.2308424
109	450	0	1.24223909
110	454	0	1.25363578
111	457	0	1.26503247
112	460	0	1.27642915
113	463	0	1.28782584
114	466	0	1.29922253
115	470	0	1.31061922
116	473	0	1.32201591
117	477	0	1.3334126
118	481	0	1.34480929
119	484	0	1.35620598
120	487	0	1.36760267
121	490	0	1.37899935
122	493	0	1.39039604
123	496	0	1.40179273
124	499	0	1.41318942
125	502	0	1.42458611
126	505	0	1.4359828
127	508	0	1.44737949
128	511	0	1.45877618
129	514	0	1.47017287
130	517	0	1.48156955
131	521	0	1.49296624
132	524	0	1.50436293
133	527	0	1.51575962
134	530	0	1.52715631
135	533	0	1.538553
136	536	0	1.54994969
137	539	0	1.56134638
138	543	0	1.57274307
139	546	0	1.58413975
140	549	0	1.59553644
141	552	0	1.60693313
142	555	0	1.61832982
143	558	0	1.62972651
144	561	0	1.6411232
145	564	0	1.65251989
146	567	0	1.66391658
147	570	0	1.67531327
148	574	0	1.68670995
149	577	0	1.69810664
150	580	0	1.70950333
151	583	0	1.72090002
152	586	0	1.73229671
153	589	0	1.7436934
154	592	0	1.75509009
155	595	0	1.76648678
156	598	0	1.77788347
157	601	0	1.78928015
158	605	0	1.80067684
159	608	0	1.81207353
160	611	0	1.82347022
161	614	0	1.83486691
162	617	0	1.8462636
163	620	0	1.85766029
164	623	0	1.86905698
165	626	0	1.88045367
166	629	0	1.89185035
167	633	0	1.90324704
168	636	0	1.91464373
169	639	0	1.92604042
170	642	0	1.93743711
171	645	0	1.9488338
172	648	0	1.96023049
173	651	0	1.97162718
174	654	0	1.98302387
175	657	0	1.99442055
176	660	0	2.00581724
177	663	0	2.01721393
178	666	0	2.02861062
179	669	0	2.04000731
180	672	0	2.051404
181	676	0	2.06280069
182	679	0	2.07419738
183	682	0	2.08559407
184	685	0	2.09699075
185	688	0	2.10838744
186	691	0	2.11978413
187	694	0	2.13118082
