
Study name:Nonlinear 1
Plot type: Contact/Friction force
00:46, Tuesday, April 28, 2026


X Title: Time (sec)
Y Title: Contact/Friction force(N)

Point, X, Y1 (Sum X:(Selection)), Y2 (Sum Y:(Selection)), Y3 (Sum Z:(Selection)), Y4 (Resultant:(Selection)), Y5 (Sum X:(Entire Model)), Y6 (Sum Y:(Entire Model)), Y7 (Sum Z:(Entire Model)), Y8 (Resultant:(Entire Model))
1, 0.0008      ,0.39208     ,0.0010036   ,0.58108     ,0.70098     ,4.3403E-15  ,-1.3599E-20 ,1.5526E-15  ,4.6096E-15  ,
2, 0.0016      ,-0.54771    ,0.0016297   ,-1.073      ,1.2047      ,7.5072E-15  ,1.9323E-20  ,-1.2582E-14 ,1.4651E-14  ,
3, 0.0024      ,-1.1505     ,0.0019169   ,0.97016     ,1.5049      ,-1.2131E-14 ,4.5296E-19  ,6.9858E-15  ,1.3999E-14  ,
4, 0.0032      ,-0.51369    ,0.0020261   ,2.3172      ,2.3735      ,1.1796E-16  ,4.4099E-20  ,-8.1012E-16 ,8.1866E-16  ,
5, 0.004       ,-0.18352    ,0.0021393   ,1.7116      ,1.7215      ,-3.6134E-15 ,-5.6614E-19 ,1.0115E-14  ,1.0741E-14  ,
6, 0.0048      ,0.78532     ,0.0023475   ,0.56331     ,0.96646     ,-6.7034E-16 ,5.4842E-19  ,-8.7343E-15 ,8.76E-15    ,
7, 0.0056      ,1.5279      ,0.0025002   ,1.3978      ,2.0709      ,-3.5767E-15 ,4.2093E-19  ,9.8675E-15  ,1.0496E-14  ,
8, 0.0064      ,1.934       ,0.0026276   ,0.31178     ,1.9589      ,1.0547E-15  ,-1.423E-19  ,4.6629E-15  ,4.7807E-15  ,
9, 0.0072      ,1.8008      ,0.0028076   ,-0.26032    ,1.8195      ,-9.3259E-15 ,-2.5072E-19 ,-6.1062E-15 ,1.1147E-14  ,
10, 0.008       ,0.92822     ,0.0027349   ,1.0011      ,1.3652      ,5.6621E-15  ,-8.1993E-19 ,2.609E-15   ,6.2343E-15  ,
11, 0.0088      ,-0.71501    ,0.0027468   ,1.4827      ,1.6461      ,-7.3275E-15 ,5.4888E-19  ,-4.885E-15  ,8.8065E-15  ,
12, 0.0096      ,-2.6694     ,0.0025982   ,4.3691      ,5.1201      ,-1.3545E-14 ,1.7076E-18  ,-2.1649E-14 ,2.5537E-14  ,
13, 0.0104      ,-5.7348     ,0.0019761   ,12.745      ,13.976      ,1.7875E-14  ,2.9409E-18  ,-5.7732E-15 ,1.8784E-14  ,
14, 0.0112      ,-6.2339     ,0.0012409   ,20.091      ,21.036      ,1.9984E-15  ,-9.3512E-19 ,4.1078E-15  ,4.5681E-15  ,
15, 0.012       ,-6.7826     ,0.00061423  ,27.209      ,28.041      ,1.2657E-14  ,3.0764E-18  ,-1.1664E-14 ,1.7212E-14  ,
16, 0.0128      ,-4.8278     ,-0.00071591 ,32.149      ,32.509      ,1.5875E-14  ,3.4763E-18  ,-6.0507E-15 ,1.6989E-14  ,
17, 0.0136      ,1.4652      ,-3.9833E-05 ,26.967      ,27.007      ,-3.525E-15  ,2.946E-18   ,1.3586E-14  ,1.4036E-14  ,
18, 0.0144      ,7.3403      ,0.0013353   ,17.667      ,19.131      ,5.6621E-15  ,1.0029E-18  ,1.7208E-15  ,5.9179E-15  ,
19, 0.0152      ,8.814       ,0.0022682   ,10.231      ,13.504      ,-2.931E-14  ,3.09E-18    ,1.1768E-14  ,3.1584E-14  ,
20, 0.016       ,2.8765      ,0.0026924   ,8.4231      ,8.9007      ,2.4425E-14  ,-1.5992E-18 ,1.2434E-14  ,2.7408E-14  ,
