
Nonlinear Response
00:47, Tuesday, April 28, 2026


X Title: Time (sec)
Y Title: von Mises (N/m^2)

Point, X, Y1 (Node 3992)
1, 0.0008      ,6.0443E+05  ,
2, 0.0016      ,7.2799E+05  ,
3, 0.0024      ,8.0163E+05  ,
4, 0.0032      ,8.5262E+05  ,
5, 0.004       ,8.6589E+05  ,
6, 0.0048      ,8.7806E+05  ,
7, 0.0056      ,9.1133E+05  ,
8, 0.0064      ,9.3594E+05  ,
9, 0.0072      ,9.2981E+05  ,
10, 0.008       ,9.8728E+05  ,
11, 0.0088      ,9.855E+05   ,
12, 0.0096      ,1.0295E+06  ,
13, 0.0104      ,1.1186E+06  ,
14, 0.0112      ,1.2123E+06  ,
15, 0.012       ,1.2232E+06  ,
16, 0.0128      ,1.2701E+06  ,
17, 0.0136      ,1.195E+06   ,
18, 0.0144      ,1.2499E+06  ,
19, 0.0152      ,1.2697E+06  ,
20, 0.016       ,1.3161E+06  ,
21, 0.0168      ,1.2401E+06  ,
22, 0.0176      ,1.3069E+06  ,
23, 0.0184      ,1.2925E+06  ,
24, 0.0192      ,1.4013E+06  ,
25, 0.02        ,1.5341E+06  ,
26, 0.0208      ,1.48E+06    ,
27, 0.0216      ,1.4222E+06  ,
28, 0.0224      ,1.3117E+06  ,
29, 0.0232      ,1.2583E+06  ,
30, 0.024       ,1.1764E+06  ,
31, 0.0248      ,1.1933E+06  ,
32, 0.0256      ,1.4711E+06  ,
33, 0.0264      ,1.4072E+06  ,
34, 0.0272      ,1.5193E+06  ,
35, 0.028       ,1.8257E+06  ,
36, 0.0288      ,1.656E+06   ,
37, 0.0296      ,1.613E+06   ,
38, 0.0304      ,1.5344E+06  ,
39, 0.0312      ,1.34E+06    ,
40, 0.032       ,1.2688E+06  ,
41, 0.0328      ,1.3859E+06  ,
42, 0.0336      ,1.5109E+06  ,
43, 0.0344      ,1.7213E+06  ,
44, 0.0352      ,1.827E+06   ,
45, 0.036       ,1.8156E+06  ,
46, 0.0368      ,1.6478E+06  ,
47, 0.0376      ,1.6989E+06  ,
48, 0.0384      ,1.3915E+06  ,
49, 0.0392      ,1.4077E+06  ,
50, 0.04        ,3.3317E+06  ,
51, 0.0408      ,1.1266E+07  ,
52, 0.0416      ,1.4465E+07  ,
53, 0.0424      ,1.5579E+07  ,
54, 0.0432      ,1.2251E+07  ,
55, 0.044       ,6.2721E+06  ,
56, 0.0448      ,9.1413E+06  ,
57, 0.0456      ,7.9749E+06  ,
58, 0.0464      ,8.3832E+06  ,
59, 0.0472      ,9.2898E+06  ,
60, 0.048       ,3.4695E+06  ,
61, 0.0488      ,7.026E+05   ,
62, 0.0496      ,4.3324E+05  ,
63, 0.0504      ,7.0874E+05  ,
64, 0.0512      ,5.6467E+05  ,
65, 0.052       ,5.2828E+06  ,
66, 0.0528      ,7.1808E+06  ,
67, 0.0536      ,7.0206E+06  ,
68, 0.0544      ,1.1017E+07  ,
69, 0.0552      ,6.3631E+06  ,
70, 0.056       ,8.03E+05    ,
71, 0.0568      ,5.0297E+05  ,
72, 0.0576      ,6.2134E+05  ,
73, 0.0584      ,8.5244E+05  ,
74, 0.0592      ,1.4563E+06  ,
75, 0.06        ,7.355E+06   ,
76, 0.0608      ,5.6694E+06  ,
77, 0.0616      ,1.2207E+07  ,
78, 0.0624      ,1.1408E+07  ,
79, 0.0632      ,3.8162E+06  ,
80, 0.064       ,9.6633E+05  ,
81, 0.0648      ,5.0756E+05  ,
82, 0.0656      ,8.7757E+05  ,
83, 0.0664      ,7.6345E+05  ,
84, 0.0672      ,5.1848E+06  ,
85, 0.068       ,5.3779E+06  ,
86, 0.0688      ,9.3828E+06  ,
87, 0.0696      ,1.515E+07   ,
88, 0.0704      ,7.9859E+06  ,
89, 0.0712      ,3.153E+06   ,
90, 0.072       ,2.13E+06    ,
91, 0.0728      ,9.0335E+05  ,
92, 0.0736      ,1.0658E+06  ,
93, 0.0744      ,1.8459E+06  ,
94, 0.0752      ,3.2813E+06  ,
95, 0.076       ,5.869E+06   ,
96, 0.0768      ,1.6755E+07  ,
97, 0.0776      ,1.2901E+07  ,
98, 0.0784      ,5.5688E+06  ,
99, 0.0792      ,4.201E+06   ,
100, 0.08        ,4.3393E+05  ,
