
Study name:Nonlinear 1
Plot type: Reaction force
01:02, Tuesday, April 28, 2026


X Title: Time (sec)
Y Title: Reaction force(N)

Point, X, Y1 (Sum X:(Selection)), Y2 (Sum Y:(Selection)), Y3 (Sum Z:(Selection)), Y4 (Resultant:(Selection)), Y5 (Sum X:(Entire Model)), Y6 (Sum Y:(Entire Model)), Y7 (Sum Z:(Entire Model)), Y8 (Resultant:(Entire Model))
1, 0.0008      ,0,0,0,1E-33,1.1475      ,0.17539     ,4.5413      ,4.6873      ,
2, 0.0016      ,0,0,0,1E-33,1.8317      ,-0.47248    ,-17.759     ,17.859      ,
3, 0.0024      ,0,0,0,1E-33,-4.8165     ,0.72802     ,-30.274     ,30.664      ,
4, 0.0032      ,0,0,0,1E-33,-0.31854    ,-0.97713    ,-1.8452     ,2.1121      ,
5, 0.004       ,0,0,0,1E-33,6.5566      ,1.1949      ,-29.263     ,30.012      ,
6, 0.0048      ,0,0,0,1E-33,-2.9227     ,-1.3779     ,-48.592     ,48.699      ,
7, 0.0056      ,0,0,0,1E-33,-3.4869     ,1.5195      ,-29.11      ,29.357      ,
8, 0.0064      ,0,0,0,1E-33,-0.09806    ,-1.6117     ,-38.314     ,38.348      ,
9, 0.0072      ,0,0,0,1E-33,8.1959      ,1.6584      ,-57.227     ,57.835      ,
10, 0.008       ,0,0,0,1E-33,-5.0562     ,-1.6401     ,-58.836     ,59.076      ,
11, 0.0088      ,0,0,0,1E-33,-6.252      ,1.5761      ,-52.033     ,52.431      ,
12, 0.0096      ,0,0,0,1E-33,9.4334      ,-1.442      ,-65.024     ,65.72       ,
13, 0.0104      ,0,0,0,1E-33,-2.8958     ,1.2765      ,-79.327     ,79.39       ,
14, 0.0112      ,0,0,0,1E-33,2.3263      ,-1.0351     ,-74.368     ,74.412      ,
15, 0.012       ,0,0,0,1E-33,-10.61      ,0.78439     ,-74.437     ,75.194      ,
16, 0.0128      ,0,0,0,1E-33,8.6089      ,-0.45801    ,-97.445     ,97.826      ,
17, 0.0136      ,0,0,0,1E-33,6.9204      ,0.14651     ,-95.542     ,95.793      ,
18, 0.0144      ,0,0,0,1E-33,-15.162     ,0.24466     ,-91.493     ,92.741      ,
19, 0.0152      ,0,0,0,1E-33,5.7987      ,-0.58693    ,-105.03     ,105.19      ,
