sep=;
02:53, Monday, April 20, 2026
Study name:Frequency 1

Mode No.  ;Freq (Hertz)  ;X direction  ;Y direction  ;Z direction
1  ;7.2685  ;0.63251  ;0.34093  ;4.9595e-07
2  ;48.959  ;0.12397  ;0.22902  ;0.62369
3  ;889.75  ;0.0036376  ;0.0019698  ;1.5308e-07
4  ;1,065.9  ;9.1009e-05  ;0.00027915  ;0.0024568
5  ;1,085.1  ;0.0086581  ;0.0027536  ;6.7695e-05
6  ;1,099.8  ;0.22157  ;0.41558  ;0.34986
7  ;3,254.5  ;1.7082e-06  ;3.6417e-06  ;5.3421e-09
8  ;3,661.3  ;0.00058552  ;0.0011456  ;7.7598e-06
9  ;4,026.2  ;6.6651e-06  ;3.8136e-05  ;0.013104
10  ;4,142  ;4.424e-07  ;3.3102e-07  ;4.7594e-07
11  ;4,271.6  ;0.00042747  ;0.00021154  ;5.2937e-05
12  ;5,656.7  ;0.00037742  ;0.002227  ;6.8451e-07
13  ;5,660.2  ;0.0022168  ;0.00037106  ;2.1129e-08
14  ;8,071  ;0.00033926  ;0.00046074  ;1.6963e-05
15  ;8,574.9  ;0.00096779  ;0.00054999  ;7.9264e-06
16  ;9,546.4  ;1.1757e-05  ;6.4358e-05  ;0.0029937
17  ;11,764  ;0.00024238  ;0.0012741  ;1.0658e-06
18  ;11,805  ;0.0010954  ;0.00016788  ;1.2438e-08
19  ;12,273  ;1.4751e-06  ;8.1876e-08  ;2.9155e-11
20  ;13,738  ;2.9137e-06  ;1.6748e-05  ;1.9731e-06
  ;  ;Sum X = 0.99671  ;Sum Y = 0.99707  ;Sum Z = 0.99226
