15:19, Tuesday, April 21, 2026
Study name:Response spectrum analysis
Mode No.  ,Frequency(Rad/sec)  ,Frequency(Hertz)  ,Period(Seconds)
1  ,923.43  ,146.97  ,0.0068041
2  ,1074.5  ,171.02  ,0.0058473
3  ,1178.5  ,187.56  ,0.0053317
4  ,1609.2  ,256.12  ,0.0039045
5  ,2055.3  ,327.11  ,0.003057
6  ,2157.9  ,343.43  ,0.0029118
7  ,2169.6  ,345.29  ,0.0028961
8  ,2228  ,354.6  ,0.00282
9  ,2437.8  ,387.99  ,0.0025774
10  ,2677.7  ,426.18  ,0.0023465
11  ,3042.7  ,484.26  ,0.002065
12  ,3144.4  ,500.44  ,0.0019982
13  ,3227.7  ,513.71  ,0.0019466
14  ,3243.9  ,516.29  ,0.0019369
15  ,3616  ,575.5  ,0.0017376
16  ,3804.9  ,605.57  ,0.0016513
17  ,4213.7  ,670.63  ,0.0014911
18  ,4311.7  ,686.23  ,0.0014572
19  ,4327.7  ,688.78  ,0.0014518
20  ,4844.7  ,771.06  ,0.0012969
21  ,5036.7  ,801.61  ,0.0012475
22  ,5054.8  ,804.5  ,0.001243
23  ,5218.4  ,830.54  ,0.001204
24  ,5372.9  ,855.13  ,0.0011694
25  ,5382.1  ,856.59  ,0.0011674
26  ,5573.3  ,887.01  ,0.0011274
27  ,5925.3  ,943.05  ,0.0010604
28  ,6321.2  ,1006  ,0.00099399
29  ,6411.8  ,1020.5  ,0.00097994
30  ,6416  ,1021.1  ,0.0009793
31  ,6487.5  ,1032.5  ,0.0009685
32  ,6567.4  ,1045.2  ,0.00095673
33  ,7007.6  ,1115.3  ,0.00089663
34  ,7112.3  ,1132  ,0.00088342
35  ,7429.3  ,1182.4  ,0.00084573
36  ,7438.9  ,1183.9  ,0.00084464
37  ,7451  ,1185.9  ,0.00084327
38  ,7515.9  ,1196.2  ,0.00083598
39  ,8039.3  ,1279.5  ,0.00078156
40  ,8413.7  ,1339.1  ,0.00074678
41  ,8435.6  ,1342.6  ,0.00074484
42  ,8443.5  ,1343.8  ,0.00074414
43  ,8505.1  ,1353.6  ,0.00073876
44  ,8824.1  ,1404.4  ,0.00071205
45  ,9110.1  ,1449.9  ,0.00068969
